YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1956,14.8,15.2,23.8,39.4,53.5,67.1,65.3,66.1,55.2,52.6,31.4,20.8
1957,7.2,19.3,28.2,43.8,53.2,63.9,70.4,66.1,56.0,45.0,31.1,21.7
1958,17.6,12.7,29.6,44.0,54.7,59.3,66.3,66.7,58.9,49.3,33.5,11.6
1959,6.5,12.2,26.6,42.9,58.6,65.7,68.0,70.5,59.6,42.8,23.0,26.5
1960,16.6,17.8,18.5,44.4,53.4,61.4,67.0,67.9,59.8,46.8,34.4,16.6
1961,13.0,24.0,31.5,38.9,52.0,64.5,68.0,67.9,58.7,48.5,31.7,16.1
1962,8.7,13.3,27.1,41.6,58.9,63.3,65.3,66.2,55.0,49.1,33.4,17.6
1963,3.1,10.1,30.4,45.3,52.8,66.2,69.8,64.8,58.6,56.2,37.0,10.3
1964,19.7,20.6,26.4,43.9,59.4,64.7,71.0,64.2,56.8,45.2,35.0,14.3
1965,10.4,12.6,20.8,40.0,58.1,62.6,66.4,64.6,54.0,47.5,32.3,25.7
1966,5.3,16.9,32.2,39.8,50.0,65.3,71.2,64.5,56.9,46.0,31.4,18.2
1967,16.1,9.8,28.4,42.9,49.2,64.3,66.1,62.6,56.7,45.2,28.9,20.5
1968,13.7,14.2,36.0,45.2,51.8,63.6,67.6,66.7,58.4,48.9,32.3,17.7
1969,11.0,18.5,23.7,44.9,55.5,57.4,67.8,69.0,58.1,44.0,30.8,19.6
1970,6.2,14.8,25.1,43.9,55.2,65.8,70.4,67.3,58.4,48.6,31.3,18.1
1971,6.2,15.3,24.6,42.4,51.6,67.8,65.4,64.2,60.2,53.3,32.7,20.5
1972,7.4,11.8,23.9,38.4,58.1,62.2,66.6,66.3,56.8,43.0,31.1,13.8
1973,17.4,19.8,37.6,41.6,51.0,65.8,69.5,68.8,57.9,52.3,32.6,17.5
1974,13.5,15.4,28.4,44.3,51.3,61.0,70.7,64.8,53.2,46.5,33.9,23.2
1975,15.6,16.8,22.8,36.8,58.4,64.4,70.2,67.0,53.9,49.3,37.0,19.2
1976,10.0,24.1,29.7,46.0,52.7,66.6,70.0,66.4,56.6,41.4,24.7,8.4
1977,0.6,18.7,35.8,48.9,63.0,63.1,71.0,62.8,58.1,45.8,31.6,15.8
1978,7.7,9.9,26.0,41.4,56.5,63.5,66.9,67.0,61.8,45.9,30.8,14.4
1979,2.5,8.3,27.7,39.6,51.8,63.0,68.2,64.7,59.3,44.4,31.2,24.2
1980,13.6,14.1,24.8,44.7,57.5,63.1,70.3,67.4,57.2,42.2,33.3,17.6
1981,15.1,21.3,33.0,45.6,53.2,64.4,68.2,66.7,56.2,43.6,35.7,18.6
1982,3.3,14.6,26.9,39.0,59.2,58.8,69.6,64.7,56.7,47.9,31.1,25.4
1983,18.7,25.2,31.5,39.5,49.9,64.5,72.8,71.0,59.1,47.0,34.2,6.9
1984,11.2,27.2,23.7,44.5,51.9,65.8,67.6,69.2,55.9,49.5,32.2,20.2
1985,10.2,14.6,34.1,47.9,58.6,61.2,67.9,64.1,58.0,46.2,26.6,7.5
1986,14.7,15.7,32.1,47.8,57.2,63.9,70.1,63.2,58.1,46.6,28.0,22.1
1987,19.4,27.1,35.1,48.5,58.4,68.0,71.8,66.2,59.2,41.2,36.1,24.8
1988,9.8,12.6,30.5,44.0,59.5,68.2,72.4,70.9,59.3,41.2,33.9,18.8
1989,21.1,10.0,25.0,41.3,54.2,62.7,70.3,66.9,57.3,47.8,28.2,8.5
1990,24.1,20.4,33.3,45.5,51.8,64.9,67.8,66.7,60.3,45.1,36.9,17.7
1991,10.6,22.1,32.0,46.7,59.6,68.2,68.4,68.1,56.4,45.4,26.3,20.8
1992,20.3,25.4,30.1,40.4,56.2,61.6,63.3,62.7,56.4,45.2,30.5,20.7
1993,15.1,16.8,28.4,39.8,54.8,61.5,67.9,67.9,52.5,44.1,30.2,21.6
1994,3.9,11.7,31.6,43.3,55.4,66.5,67.0,64.0,61.1,49.4,36.5,25.3
1995,16.8,17.8,32.3,38.4,53.8,68.5,70.0,71.8,56.4,47.3,24.4,16.2
1996,10.1,15.8,23.1,38.8,51.5,64.4,65.7,67.1,58.8,46.7,25.8,17.9
1997,11.6,20.7,28.9,41.1,49.3,66.0,67.7,63.6,59.4,47.5,29.7,26.2
1998,20.3,31.6,31.3,47.0,60.9,63.5,69.4,68.9,63.1,49.0,37.2,25.4
1999,12.0,26.6,31.8,46.6,58.0,65.4,72.4,65.9,57.8,45.7,39.6,22.7
2000,15.1,25.3,38.4,42.9,57.1,62.8,67.6,67.6,58.1,50.5,32.4,8.6
2001,19.1,14.8,28.0,46.8,57.0,64.4,70.0,69.7,57.3,46.1,43.2,27.5
2002,24.0,26.7,24.8,42.9,50.8,66.4,72.7,67.4,61.6,42.1,31.4,24.2
2003,13.7,13.7,29.1,42.6,53.8,63.1,68.4,70.1,59.4,46.8,32.9,24.8
2004,10.7,20.8,33.6,44.6,53.1,62.0,66.8,62.2,63.1,48.2,36.7,20.4
2005,14.2,24.8,27.4,47.7,52.7,69.4,70.7,68.2,63.3,49.6,34.5,18.3
2006,27.7,18.4,31.6,49.0,56.5,65.1,72.8,68.0,56.4,42.8,36.4,27.2
2007,20.3,11.7,34.6,42.8,59.1,66.9,69.5,68.4,61.1,52.6,32.8,17.1
2008,14.7,13.2,25.4,42.9,52.0,64.4,69.0,66.5,60.5,46.7,33.3,12.7
2009,6.1,20.4,30.1,43.0,55.1,63.6,63.7,64.8,61.4,42.2,40.0,18.2
2010,15.1,20.0,37.4,50.0,57.6,65.1,71.4,70.8,56.9,49.5,34.9,16.9
2011,12.2,18.5,28.0,41.7,54.0,64.3,73.2,68.2,57.3,49.8,36.7,25.7
2012,20.8,26.6,45.6,45.1,59.6,67.1,74.8,67.1,57.7,44.8,34.4,25.1
2013,16.8,17.0,23.9,37.8,55.2,63.9,68.9,67.6,60.8,46.7,30.8,11.9
2014,6.0,7.3,21.4,39.7,55.3,66.4,65.9,67.1,58.2,46.0,25.3,24.1
2015,15.3,7.6,30.7,45.0,56.6,63.8,68.4,66.1,64.7,48.4,39.4,31.8
2016,16.2,22.6,36.8,42.9,56.1,65.8,69.9,69.5,62.6,50.4,41.6,19.9
2017,19.4,27.8,30.2,46.4,53.3,65.6,68.8,64.2,62.2,50.0,31.4,17.3
2018,15.2,16.1,29.7,33.5,62.0,66.5,69.8,68.5,61.2,43.6,27.3,25.1
2019,13.1,13.5,25.7,42.4,51.8,63.6,71.3,65.6,62.0,45.0,28.2,23.5
2020,21.5,19.2,34.3,40.7,54.1,66.5,71.9,68.3,57.3,41.3,38.6,24.2
2021,20.2,10.7,36.9,44.9,54.8,69.3,69.4,69.2,61.2,53.5,33.8,24.8
