PRECIPITATION NORMALS (Total in Inches),,,,,,,,"Compiled by E.J. Hopkins, PhD Wisconsin State Climatology Office",,,,,,,,,,,,
,,,,,,,,From Climatography of the US 81: Monthly Station Normals 1971-2000 Wisconsin,,,,,,,,At http://www5.ncdc.noaa.gov/climatenormals/clim81/WInorm.txt,,,,
COOPID,NO.,STATION NAME,,,,,,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
________,,,,LATITUDE,LONGITUDE,ELEV,ZONE,,,,,,,,,,,,,
479050,169,WEST BEND,,43.367,-88.083,940,9,1.49,1.12,1.99,3.11,2.99,3.82,3.99,4.09,3.47,2.55,2.52,1.71,32.85
479062,170,WESTBY,,43.667,-90.85,1282,7,0.92,0.78,1.77,3.35,3.57,3.92,4.63,4.63,3.58,2.15,1.95,1.15,32.4
479144,171,WEYERHAUSER,,45.417,-91.417,1195,1,1.16,0.93,2.04,2.51,3.62,4.18,4.49,4.51,4.16,2.71,2.12,1.1,33.53
479190,172,WHITEWATER,,42.85,-88.733,875,9,1.25,1.13,2.02,3.4,3.18,3.78,3.94,4.64,3.37,2.59,2.48,1.56,33.34
479236,173,WILLOW RESERVOIR,,45.7,-89.85,1560,2,1.09,0.8,1.56,2.21,3.16,3.93,3.9,4.31,4.09,2.51,2.02,1.11,30.69,,
479304,174,WINTER,,45.817,-91.017,1397,1,1.13,0.78,1.79,2.27,3.1,4.13,5.09,4.43,4.49,2.91,2.06,1.06,33.24,,
479319,175,WISCONSIN DELLS,,43.617,-89.767,835,8,0.99,1.01,2.09,3.5,3.5,4.2,4.1,4.57,3.47,2.3,2.11,1.26,33.1,,
479335,176,WISCONSIN RAPIDS,,44.383,-89.8,1040,5,1.13,1.03,2.03,2.99,3.38,3.86,4.18,4.29,3.59,2.49,2.07,1.38,32.42,,

,,,,,,Max,,2.19,1.65,2.67,4.03,4.04,5.06,5.18,5.02,4.6,3.43,3.35,2.37,37.05,,5.18
,,,,,,Min,,0.81,0.65,1.43,1.94,2.65,3.12,2.88,3.27,2.71,2.08,1.69,0.76,28.54,,0.65
